news_headline,news_article,news_category
"I am glad to be leaving Chennai, pitch here has stumped me: KKR captain Morgan","After KKR lost two of their first three matches in Chennai in IPL 2021, captain Eoin Morgan said, ""Chennai pitch certainly has stumped me. I'm glad to be leaving Chennai. I can't get a gauge on the wicket."" KKR will now head to Mumbai to play their next two games at Wankhede Stadium, where they'll face CSK and then RR.",sports
24-year-old Matt Parkinson recreates Shane Warne's 'ball of the century',"Lancashire's 24-year-old leg-spinner Matt Parkinson recreated former Australia leg-spinner Shane Warne's 'ball of the century' during a county match against Northamptonshire captain Adam Rossington. Parkinson gave the ball some flight, which pitched outside leg stump, and turned sharply to crash into the top of the off-stump. ""Wow! Was that his first ball of the summer too?"" Warne tweeted.",sports
SL's Lokuhettige banned for 8 years for match-fixing during 2017 T10 League,"Ex-Sri Lanka cricketer Dilhara Lokuhettige has been banned from all cricket for eight years after he was found guilty of three offences, including match-fixing, by an independent Anti-Corruption Tribunal. Lokuhettige was initially charged by Emirates Cricket Board over corruption during the inaugural session of the T10 tournament in Sharjah. Lokuhettige played nine ODIs and two T20Is for SL.",sports
"South Africa, come on you need this man: Yohan Blake after ABD hits 76*(34)","After RCB's AB de Villiers smashed 76*(34) against KKR, two-time Olympic gold medal-winning Jamaican sprinter Yohan Blake tweeted, ""Wow...De Villiers is on a different level. South Africa...come on...you need this man."" AB de Villiers has also stated he and South Africa head coach Mark Boucher will have a chat regarding his chances of featuring in T20 World Cup.",sports
"Sanju Samson collects coin again after winning toss against MS Dhoni, pic goes viral","Ahead of the RR-CSK match in IPL 2021, RR captain Sanju Samson collected the coin from the ground and kept it after winning the toss against CSK captain MS Dhoni. The 26-year-old had also kept the coin in the pocket after winning the toss in his first-ever match as IPL captain on April 12.",sports
"Warner and Williamson keep Ramadan fast with Rashid Khan, spinner shares video","SunRisers Hyderabad captain David Warner and Kane Williamson kept Ramadan fast with teammate Rashid Khan, the spinner revealed in a video on Instagram. Rashid shared a video of the duo sitting with him at a table ahead of Iftar. In the video, Warner can be heard terming the fasting as ""very difficult"". ",sports
Thank you from bottom of my heart: Pandya on completing 6 years with MI,"All-rounder Hardik Pandya took to Twitter to thank his fans and his franchise Mumbai Indians on completing six years in the IPL. Hardik made his debut for MI on this day in 2015 and has since scored 1,384 runs and picked 42 wickets. ""To the management, staff, teammates and fans...thank you from the bottom of my heart,"" he tweeted.",sports
Hardik not bowling in IPL 2021 yet due to a niggle: Jayawardene,"MI head coach Mahela Jayawardene said that all-rounder Hardik Pandya hasn't bowled in IPL 2021 so far due to a niggle that he picked during the India-England ODI series. ""We don't want to risk an injury...We want to be sure that he is comfortable while bowling so hopefully in the next few weeks...you might see him bowling,"" Jayawardene explained.",sports
It was very crucial: Shaw on Shami's 17th over where he conceded 20 runs,"DC's Prithvi Shaw has said that the 17th over of their successful chase against PBKS's 195-run total was crucial and they ""executed quite well"". DC needed 36 off 24 balls when Mohammed Shami came to bowl and conceded 20 runs. Stoinis smashed two fours and a six to help DC post 180 after the over, needing 16 off 18 balls.",sports
MI have adapted pretty well to competitive Chennai wicket: Jayawardene,"Mumbai Indians head coach Mahela Jayawardene said his side has adapted pretty well to the competitive Chennai wicket in the IPL as all the games are being played at neutral venues and no team gets home advantage. “Yes, the wickets are slightly on the slower side. They are not unplayable wickets, they are good competitive wickets,” added Jayawardene.",sports
"After coming from Australia, I was worried about my batting: Shaw","DC's Prithvi Shaw, who has scored 106 runs in three IPL matches, has revealed he was worried about his batting after his performance in Australia. Shaw scored 0 and 4 in the single Test he played in Australia. ""I played my natural game in Vijay Hazare Trophy, but I made a small technical change. After that...it's going well,"" he stated.",sports
PBKS messed up their bowling plans vs DC: Ashish Nehra,"Criticising KL Rahul's captaincy, ex-India pacer Ashish Nehra said Punjab Kings ""messed up"" their bowling plans against DC while defending their 195-run total. ""Even Shami bowled four overs in four different spells...PBKS played four different bowlers to start with,"" he stated, adding that such things are mostly done by those sides who lack resources.",sports
Dew played ‘big factor’: Agarwal on PBKS' loss against DC,"Punjab Kings opening batsman Mayank Agarwal pointed out that the dew played a 'big factor' in his side's six-wicket loss against Delhi Capitals in IPL 2021 on Sunday. ""Delhi Capitals batted exceedingly well, also there was a dew factor. It was not that easy,"" said Mayank. The right-handed batsman's 69-run knock helped PBKS put up a score of 195/4.",sports
Did well to keep Punjab Kings under 200 runs: Stoinis after DC's win ,"After chasing the target of 196 runs, Delhi Capitals all-rounder Marcus Stoinis said that his side did ""really well"" in keeping Punjab Kings under the 200-run mark in IPL 2021 on Sunday. ""The focus is always to start well. Shikhar Dhawan is brilliant, he's really hungry for runs,"" added Stoinis. Dhawan's 92-run knock helped DC beat PBKS by six wickets.",sports
It suits Maxwell to play without having to carry the team: Swann,"Talking about the performance of Glenn Maxwell, who has scored 176 runs so far in IPL, ex-England cricketer Graeme Swann said it suits the Australia all-rounder to perform without having to carry the team. ""He's not the big show...he's got Kohli, De Villiers...and it suits him to be that third player who can just go and express himself,"" Swann explained.",sports
"Dock points, impose fine: Neville on clubs of European Super League","Ex-England and Manchester United defender Gary Neville has slammed the 12 founding clubs of the breakaway 'European Super League'. Neville said the six Premier League clubs that are part of the new league should get their points deducted, be fined and have transfer embargo imposed. ""I hope they haven't bought some of the other 14 (Premier League) clubs,"" Neville tweeted.",sports
Discus thrower Krishna Poonia tests positive for COVID-19,"Commonwealth Games gold medallist discus thrower Krishna Poonia on Sunday tested positive for COVID-19 and is undergoing treatment at a Jaipur hospital. ""She was not in a serious condition and was doing fine otherwise. Doctors have advised her to be at hospital for a few days,"" said Krishna's husband Virender Poonia. Krishna is currently a sitting MLA in Rajasthan.",sports
Dhawan looks solid even while playing fearless cricket: Kaif,"DC assistant coach Mohammad Kaif has praised Shikhar Dhawan, who has scored 85 and 92 in two of his three IPL matches, for his fearless batting. ""Dhawan...looks solid even while playing fearless cricket. Cutting risks without compromising the strike rate is the mark of a great T20 batsman,"" Kaif tweeted. DC have won both matches when Dhawan crossed 50-run mark.",sports
Former footballer Pelé's trading cards to be launched as NFTs,"Community-oriented platform Ethernity Chain has announced that it will launch a collection of authenticated non-fungible tokens (NFTs) to ""honour the legacy"" of former Brazilian footballer Pelé. It will mark the first time for Pelé trading cards to be released digitally, Ethernity Chain said. It added, 90% of the proceeds from the sale of NFTs will go to The Pelé Foundation.",sports
